epoch,train_loss,val_loss,nmse_db,rho,checkpoint,model
5,0.00080225,0.00080166,0.001578,0.047508,/home/luxian/GitSpace/csinet/my_model/out_10k_2_gpu/checkpoint_epoch_005_outdoor_dim32_20260312_100123.pth,/home/luxian/GitSpace/csinet/my_model/out_10k_2_gpu/model_epoch_005_outdoor_dim32_20260312_100123.pth
6,0.00080225,0.00080146,0.000079,0.051262,/home/luxian/GitSpace/csinet/my_model/out_10k_2_gpu/checkpoint_epoch_006_outdoor_dim32_20260312_100123.pth,/home/luxian/GitSpace/csinet/my_model/out_10k_2_gpu/model_epoch_006_outdoor_dim32_20260312_100123.pth
